,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
378,2020-02-20,DE-BB,80.749201,1479898.246367,2418812.456628,4.849939000000006,0.001714,2.642229,4.40761
379,2020-02-20,DE-BE,80.808101,934876.101399,2423727.22028,5.065299000000039,0.001446,3.615385,4.85609
380,2020-02-20,DE-BW,73.057302,3924745.238994,2312992.918246,5.444575000000043,0.001425,5.554888,4.230539
381,2020-02-20,DE-BY,78.693098,1604491.367556,2295682.457071,3.3098810000000185,0.001068,4.20985,3.292352
382,2020-02-20,DE-HB,84.502084,231493.338942,2421390.461538,6.907322000000022,0.00721,2.679487,6.776549
383,2020-02-20,DE-HE,81.231598,706206.746752,2353342.969804,5.242529000000047,0.004646,3.282697,5.835036
384,2020-02-20,DE-HH,87.370958,115303.13447,2417258.460227,5.700784999999996,0.007386,2.007576,5.753251
385,2020-02-20,DE-MV,87.168346,487558.099427,2419479.354617,4.669584000000043,0.003976,0.819262,5.254581
386,2020-02-20,DE-NI,84.49665,274146.056401,2407866.503289,6.076264000000037,0.006708,2.46836,6.045674
387,2020-02-20,DE-NW,81.738535,1064801.865562,2383996.149087,6.513867000000005,0.006802,3.524003,6.47733
388,2020-02-20,DE-RP,82.4481,1526039.485968,2352007.744149,5.834130000000016,0.004017,4.036493,6.173808
389,2020-02-20,DE-SH,90.721853,74717.762694,2415918.768432,5.579413000000045,0.008514,0.320375,6.602009
390,2020-02-20,DE-SL,84.993862,1981491.137908,2356942.725543,5.797816000000012,0.003844,4.529891,7.062421
391,2020-02-20,DE-SN,75.824241,2253598.573496,2358340.754032,4.035404000000028,0.000471,3.202886,4.972172
392,2020-02-20,DE-ST,78.758405,480441.032707,2401720.553788,5.13343500000002,0.002932,2.917617,4.599192
393,2020-02-20,DE-TH,80.330935,381971.747265,2337052.392721,4.006551000000002,0.002638,3.41294,5.651972
432,2020-02-21,DE-BB,73.943321,3374838.530128,2427199.258599,5.658542000000011,0.003741,3.236505,6.232445
433,2020-02-21,DE-BE,73.233071,3180871.564685,2432057.300699,6.034440000000018,0.003988,4.986014,6.824417
434,2020-02-21,DE-BW,65.553789,6640092.995493,2329950.360296,4.114409000000023,0.000895,7.685463,4.53529
435,2020-02-21,DE-BY,66.693408,5631760.634259,2309216.62037,3.7884970000000067,0.002051,7.009993,5.192761
436,2020-02-21,DE-HB,76.660684,1811667.253205,2440476.413462,6.672591000000011,0.001639,3.320513,8.365705
437,2020-02-21,DE-HE,70.468351,3449624.755048,2372318.974898,4.4903790000000186,0.000406,4.678399,5.966875
438,2020-02-21,DE-HH,80.352713,1634859.512311,2433221.075758,5.776610000000005,0.002875,3.939394,6.485069
439,2020-02-21,DE-MV,78.477082,4009606.301318,2428428.390354,5.763436000000013,0.002512,2.998781,6.934083
440,2020-02-21,DE-NI,75.808251,2035300.216968,2426326.139254,5.945464000000015,0.001365,3.259271,7.182033
441,2020-02-21,DE-NW,74.479399,3450500.385339,2405467.726504,5.273693000000037,0.000234,5.050485,6.420427
442,2020-02-21,DE-RP,75.056461,3344991.572194,2372561.535006,3.9938510000000065,8.4e-05,5.368108,5.193176
443,2020-02-21,DE-SH,82.865977,2871144.54485,2431060.489723,5.888471000000038,0.002747,1.912422,7.810122
444,2020-02-21,DE-SL,77.167698,2788752.040761,2377315.852582,4.083979999999997,2.8e-05,5.752717,5.245822
445,2020-02-21,DE-SN,72.191046,3471847.814834,2367899.853459,4.10241000000002,0.004007,4.120543,6.621176
446,2020-02-21,DE-ST,69.380046,2396042.478577,2415212.863553,5.878844000000015,0.001641,3.983818,6.534671
447,2020-02-21,DE-TH,70.601287,3005917.833492,2352043.949572,4.1629950000000235,0.00131,4.575167,6.575434
486,2020-02-22,DE-BB,63.869861,908341.952515,2417218.233618,8.058378000000005,0.00233,3.332915,7.414942
487,2020-02-22,DE-BE,63.46789,832595.976836,2421976.479021,8.36669500000005,0.00343,4.377622,7.964044
488,2020-02-22,DE-BW,54.071764,7679036.972498,2328536.188006,6.7411370000000375,0.001109,8.203836,4.756994
489,2020-02-22,DE-BY,57.209071,7167756.002104,2308437.368266,6.600945000000024,0.000775,8.048061,4.491445
490,2020-02-22,DE-HB,74.388676,24499.126502,2426588.858974,8.356565000000046,0.005026,3.205128,10.517628
491,2020-02-22,DE-HE,70.23729,3894258.565765,2365677.951741,6.367912000000047,0.002058,4.59837,6.875355
492,2020-02-22,DE-HH,74.859406,17525.794515,2418550.901515,7.658082000000036,0.006299,1.757576,8.835385
493,2020-02-22,DE-MV,72.748309,102339.277752,2414388.443386,7.46911300000005,0.002971,1.042975,8.591076
494,2020-02-22,DE-NI,72.298546,496951.2046,2413630.339912,7.929498000000024,0.004814,2.827837,8.974083
495,2020-02-22,DE-NW,72.004659,1023339.554938,2395765.593419,7.538971000000004,0.004048,4.18188,8.003151
496,2020-02-22,DE-RP,73.778096,3983148.699177,2367013.227588,6.206365000000005,0.001354,5.937326,6.681905
497,2020-02-22,DE-SH,80.788555,135570.375477,2414971.154714,7.338388000000009,0.006531,0.899911,10.697647
498,2020-02-22,DE-SL,74.668081,6065723.591033,2373208.344429,6.062872000000027,0.000609,7.809783,7.091417
499,2020-02-22,DE-SN,58.693193,2714064.316718,2362314.563879,7.338319000000013,0.000689,4.752971,7.797708
500,2020-02-22,DE-ST,62.886379,1453255.773785,2404827.199522,8.356853999999998,0.002319,3.686282,7.628754
501,2020-02-22,DE-TH,64.790529,4282894.111204,2345290.119767,6.679083000000048,0.001415,4.711703,8.048216
540,2020-02-23,DE-BB,83.194031,3419.046054,2401500.375471,6.524078000000031,0.014595,3.026362,6.116087
541,2020-02-23,DE-BE,83.258186,1270.661024,2406060.555944,6.5969650000000115,0.01659,2.951049,6.274825
542,2020-02-23,DE-BW,69.870709,1353878.604958,2317364.73388,10.09472500000004,0.007352,4.802635,8.17565
543,2020-02-23,DE-BY,74.153979,1573973.555849,2293440.678662,9.265265,0.00853,4.51951,8.230143
544,2020-02-23,DE-HB,84.161268,3276.805742,2419787.38141,6.189215000000047,0.015471,2.846154,6.947703
545,2020-02-23,DE-HE,84.090371,15697.26659,2351382.726195,8.307671000000028,0.012605,3.7299,8.365745
546,2020-02-23,DE-HH,83.397853,342.506841,2411910.102273,5.313414000000023,0.013405,2.393939,5.947001
547,2020-02-23,DE-MV,81.418141,34272.202809,2405039.17388,5.132306000000028,0.008165,2.428223,6.582761
548,2020-02-23,DE-NI,85.394269,3013.198042,2404558.783443,6.3417760000000385,0.018432,2.848035,6.570009
549,2020-02-23,DE-NW,86.321486,4817.123745,2384448.907877,8.106108000000006,0.019498,3.659229,7.795849
550,2020-02-23,DE-RP,86.755364,109366.529451,2354815.059004,8.912114000000031,0.007385,4.02142,8.554512
551,2020-02-23,DE-SH,84.057139,1538.502205,2411281.329424,5.22714000000002,0.009321,1.771224,7.61811
552,2020-02-23,DE-SL,90.795083,99578.91465,2361813.121603,8.933596000000023,0.00788,4.0,9.662772
553,2020-02-23,DE-SN,83.737601,5939.112742,2343529.894737,7.903890000000047,0.015527,2.959677,8.577128
554,2020-02-23,DE-ST,82.318856,462.80814,2390085.98253,7.5647370000000365,0.016198,3.045237,6.924205
555,2020-02-23,DE-TH,82.024155,429.418467,2329411.672693,8.015640000000019,0.01338,3.253568,8.906343
594,2020-02-24,DE-BB,80.062149,707353.148388,2410546.895368,5.131586000000027,0.006427,3.030128,5.307055
595,2020-02-24,DE-BE,79.796093,345297.389642,2415231.012238,5.357723000000021,0.006239,4.090909,5.794522
596,2020-02-24,DE-BW,80.314208,660491.781895,2308155.010746,8.744529999999997,0.005284,5.613589,4.663207
