date,iso3166-2,region_code,confirmed_addition,deceased_addition,population,cases_pc,deaths_pc,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2020-03-07,DE-BE,Berlin,1,0,3644826,2.7436151958968685e-07,0.0,83.997902,2614947.575175,2414428.47028,4.23006700000002,0.002067,5.020979,5.097902
2020-03-07,DE-HH,Hamburg,4,0,1841179,2.172520977047859e-06,0.0,78.98649,4396946.075758,2424213.560606,4.494002000000023,0.000137,5.689394,3.982323
2020-03-07,DE-HE,Hessen,4,0,6265809,6.383852428313726e-07,0.0,75.427845,3759898.130604,2352644.566228,3.919571000000019,0.001075,6.037792,3.842825
2020-03-07,DE-NI,Niedersachsen,8,0,7982448,1.0021988242203394e-06,0.0,77.18139,3528475.836623,2414228.723136,5.171789000000047,0.000534,6.210668,4.050517
2020-03-07,DE-NW,Nordrhein-Westfalen,68,3,17932651,3.791965839295038e-06,1.6729261055713402e-07,74.25171,2987535.258339,2388948.690444,5.2686990000000264,0.000916,7.811359,3.810554
2020-03-07,DE-RP,Rheinland-Pfalz,2,0,4084844,4.896147808826971e-07,0.0,75.614453,4325692.517751,2351810.985819,4.503300000000024,0.000983,6.919476,3.40238
2020-03-07,DE-SN,Sachsen,2,0,4077937,4.904440652221945e-07,0.0,83.423289,3957683.68628,2347506.466575,3.0707010000000423,0.004468,5.122666,5.272232
2020-03-07,DE-TH,Thüringen,1,0,2143145,4.666039861978541e-07,0.0,80.565567,3964764.763796,2332753.709206,3.0825270000000273,0.002771,5.600381,4.515945
2020-03-08,DE-BW,Baden-Württemberg,18,1,11069533,1.626084858322388e-06,9.033804768457712e-08,71.159348,4007537.461261,2306268.635024,4.5734070000000315,0.00064,9.322394,3.039144
2020-03-08,DE-BY,Bayern,20,0,13076721,1.529435398981136e-06,0.0,73.222034,4898514.20665,2290287.321128,3.5492910000000393,0.000225,8.988223,2.549846
2020-03-08,DE-BE,Berlin,12,0,3644826,3.2923382350762424e-06,0.0,78.989248,3955450.351399,2422298.284965,5.206762000000026,0.0,8.461538,3.910111
2020-03-08,DE-BB,Brandenburg,4,0,2511917,1.592409303332873e-06,0.0,78.583378,4456373.386016,2417359.855825,5.201976999999999,5e-06,6.217675,3.44989
2020-03-08,DE-HH,Hamburg,5,0,1841179,2.7156512213098236e-06,0.0,74.732103,1511112.164773,2417153.168561,8.32054800000003,0.000947,4.409091,5.304956
2020-03-08,DE-MV,Mecklenburg-Vorpommern,2,0,1609675,1.2424868374050662e-06,0.0,78.496824,3262720.550328,2419816.165575,5.946960000000047,0.000218,4.003048,4.124639
2020-03-08,DE-NI,Niedersachsen,4,0,7982448,5.010994121101697e-07,0.0,76.137584,1961735.264254,2406051.11239,8.007066000000009,0.001414,5.38646,5.216876
2020-03-08,DE-NW,Nordrhein-Westfalen,26,0,17932651,1.4498692914951615e-06,0.0,77.448369,1564394.188951,2378965.52158,7.917517000000032,0.003334,6.633762,5.204578
2020-03-08,DE-RP,Rheinland-Pfalz,3,0,4084844,7.344221713240457e-07,0.0,77.156563,1586060.65263,2345025.971837,6.934128000000044,0.002397,6.395081,4.843162
2020-03-08,DE-SL,Saarland,1,0,990509,1.0095819422135488e-06,0.0,78.529075,1900674.930707,2348627.056386,6.9670300000000225,0.003138,6.899457,5.30428
