date,region_code,confirmed_addition,deceased_addition,iso3166-2,population,cases_pc,deaths_pc
2020-03-18,Sachsen-Anhalt,38,0,DE-ST,2208321,1.7207643272875637e-05,0.0
2020-03-18,Schleswig-Holstein,53,4,DE-SH,2896712,1.8296606635385225e-05,1.3808759724819036e-06
2020-03-18,Thüringen,37,0,DE-TH,2143145,1.7264347489320602e-05,0.0
2020-03-19,Baden-Württemberg,656,19,DE-BW,11069533,5.926175928108259e-05,1.7164229060069652e-06
2020-03-19,Bayern,821,11,DE-BY,13076721,6.278332312817564e-05,8.411894694396248e-07
2020-03-19,Berlin,180,1,DE-BE,3644826,4.938507352614364e-05,2.7436151958968685e-07
2020-03-19,Brandenburg,57,1,DE-BB,2511917,2.269183257249344e-05,3.981023258332182e-07
2020-03-19,Bremen,40,0,DE-HB,682986,5.856635421516693e-05,0.0
2020-03-19,Hamburg,186,2,DE-HH,1841179,0.0001010222254327,1.0862604885239296e-06
2020-03-19,Hessen,203,1,DE-HE,6265809,3.239805107369216e-05,1.5959631070784318e-07
2020-03-19,Mecklenburg-Vorpommern,34,0,DE-MV,1609675,2.1122276235886127e-05,0.0
2020-03-19,Niedersachsen,249,2,DE-NI,7982448,3.119343840385807e-05,2.5054970605508485e-07
2020-03-19,Nordrhein-Westfalen,1142,23,DE-NW,17932651,6.368272041874902e-05,1.2825766809380277e-06
2020-03-19,Rheinland-Pfalz,135,4,DE-RP,4084844,3.304899770958206e-05,9.792295617653945e-07
2020-03-19,Saarland,44,0,DE-SL,990509,4.442160545739615e-05,0.0
2020-03-19,Sachsen,155,1,DE-SN,4077937,3.800941505472007e-05,2.4522203261109725e-07
2020-03-19,Sachsen-Anhalt,43,0,DE-ST,2208321,1.9471806861411903e-05,0.0
2020-03-19,Schleswig-Holstein,60,0,DE-SH,2896712,2.0713139587228555e-05,0.0
2020-03-19,Thüringen,54,0,DE-TH,2143145,2.519661525468412e-05,0.0
2020-03-20,Baden-Württemberg,849,28,DE-BW,11069533,7.669700248420597e-05,2.529465335168159e-06
2020-03-20,Bayern,866,26,DE-BY,13076721,6.62245527758832e-05,1.988266018675477e-06
2020-03-20,Berlin,170,2,DE-BE,3644826,4.664145833024677e-05,5.487230391793737e-07
2020-03-20,Brandenburg,63,1,DE-BB,2511917,2.5080446527492747e-05,3.981023258332182e-07
