date,iso3166-2,region_code,confirmed_addition,population,cases_pc,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2020-10-05,SE-T,Örebro,25,304805,8.20196519085973e-05,88.276388,3845241.307088,2376261.984606,12.097642000000008,0.003214,5.737011,2.435103
2020-10-04,SE-T,Örebro,23,304805,7.545807975590951e-05,94.816721,58340.850412,2364452.387428,13.018020000000035,0.013628,3.333547,5.399337
2020-10-03,SE-T,Örebro,28,304805,9.186201013762897e-05,87.953856,1609382.481689,2388715.056286,12.198116000000027,0.001007,3.572803,4.731583
2020-10-02,SE-T,Örebro,35,304805,0.00011482751267203622,85.108179,2242578.615358,2397022.790892,12.748301000000026,0.000389,4.714561,4.109493
2020-10-01,SE-T,Örebro,19,304805,6.233493545053395e-05,88.30734,319441.159512,2397540.641276,11.099797000000024,0.000747,3.424631,3.410699
2020-09-30,SE-T,Örebro,26,304805,8.530043798494119e-05,87.536898,3326969.965362,2403220.498076,11.395906000000025,0.000112,7.233483,1.291504
2020-09-29,SE-T,Örebro,18,304805,5.9054149374190054e-05,95.86387,400473.322677,2399926.195318,11.70495900000003,0.001619,1.685696,1.246421
2020-09-28,SE-T,Örebro,9,304805,2.9527074687095027e-05,94.647808,437180.872675,2396913.941629,11.195943999999997,0.000217,3.601026,3.272579
2020-09-27,SE-T,Örebro,10,304805,3.280786076343892e-05,95.261492,1519617.235107,2394138.276299,11.360724000000005,1e-05,2.653624,4.733387
2020-09-26,SE-T,Örebro,8,304805,2.6246288610751135e-05,95.634588,402339.517584,2369644.806286,11.804435000000012,0.013763,3.362412,4.549821
2020-09-25,SE-T,Örebro,10,304805,3.280786076343892e-05,79.115144,2177167.766116,2367839.943393,11.549204000000032,0.006409,11.556126,3.080324
2020-09-24,SE-T,Örebro,6,304805,1.968471645806335e-05,79.424994,4025665.527421,2357967.253849,13.026817000000051,0.002444,10.262989,3.026478
2020-09-23,SE-T,Örebro,7,304805,2.2965502534407243e-05,76.755433,7591750.261546,2363365.956382,13.97197200000005,8e-06,10.551636,1.975842
2020-09-22,SE-T,Örebro,9,304805,2.9527074687095027e-05,78.43182,3974547.432328,2375477.292335,12.183424000000002,1.5e-05,10.144323,3.500262
2020-09-21,SE-T,Örebro,9,304805,2.9527074687095027e-05,82.566836,2747953.061017,2387468.908114,12.96501500000005,1.3e-05,10.824888,4.726462
2020-09-20,SE-T,Örebro,11,304805,3.608864683978281e-05,88.621731,1915830.266838,2405078.508018,10.125100000000032,0.000109,6.12957,2.550347
2020-09-19,SE-T,Örebro,9,304805,2.9527074687095027e-05,69.147372,7366855.051636,2417201.572162,10.892605000000003,5.5e-05,11.648493,1.388422
2020-09-18,SE-T,Örebro,19,304805,6.233493545053395e-05,77.138469,9523954.155869,2414134.653464,12.190019000000007,6e-06,12.110327,2.996651
2020-09-17,SE-T,Örebro,9,304805,2.9527074687095027e-05,61.009026,10003637.440026,2423280.91533,8.88292800000005,0.0,12.607441,3.680869
2020-09-16,SE-T,Örebro,19,304805,6.233493545053395e-05,72.584616,2869429.292656,2396796.810455,11.851028000000042,0.00019,8.878127,4.292688
2020-09-15,SE-T,Örebro,16,304805,5.249257722150227e-05,89.508315,2564374.696199,2406912.916132,14.14637700000003,8.8e-05,7.830019,1.70406
2020-09-14,SE-T,Örebro,2,304805,6.561572152687784e-06,87.682217,1236456.90633,2402705.684413,15.516939000000036,0.000441,6.246312,3.732115
2020-09-13,SE-T,Örebro,9,304805,2.9527074687095027e-05,80.619088,3431631.668137,2385917.318153,12.200106000000005,0.001097,13.016677,4.263713
2020-09-12,SE-T,Örebro,15,304805,4.921179114515838e-05,85.936566,1115356.04897,2371605.636466,12.226652000000001,0.004581,9.216164,4.506639
2020-09-11,SE-T,Örebro,8,304805,2.6246288610751135e-05,77.207012,4630812.509461,2385114.83467,11.304010000000005,0.000981,14.63823,3.293302
2020-09-10,SE-T,Örebro,9,304805,2.9527074687095027e-05,67.795259,11792968.524695,2384811.206222,10.230457000000001,1.7e-05,17.095574,2.950759
2020-09-09,SE-T,Örebro,15,304805,4.921179114515838e-05,86.681677,1518973.640445,2368405.893521,12.600541000000021,0.008547,9.474022,3.494096
2020-09-08,SE-T,Örebro,10,304805,3.280786076343892e-05,77.069929,8991570.5356,2376865.27213,14.152269000000047,0.002409,17.920462,4.338959
2020-09-07,SE-T,Örebro,9,304805,2.9527074687095027e-05,73.66111,9967503.050032,2389587.655388,11.990706000000046,0.001715,18.711353,2.645205
2020-09-06,SE-T,Örebro,3,304805,9.842358229031676e-06,79.05847,8547571.409878,2376642.366421,11.708634000000018,0.00176,17.178319,2.745408
2020-09-05,SE-T,Örebro,9,304805,2.9527074687095027e-05,78.103252,8316393.942591,2371266.901539,12.722514000000047,0.000663,16.45093,3.945483
2020-09-04,SE-T,Örebro,14,304805,4.5931005068814486e-05,78.85292,5685142.068794,2378543.518441,14.489051000000018,0.002089,14.631174,3.422263
2020-09-03,SE-T,Örebro,16,304805,5.249257722150227e-05,90.412881,635211.506344,2390712.695157,13.649755000000027,0.001127,6.89288,1.603881
2020-09-02,SE-T,Örebro,14,304805,4.5931005068814486e-05,73.601766,8696076.761065,2411363.529827,13.38471800000002,0.000228,17.77678,2.178095
2020-09-01,SE-T,Örebro,30,304805,9.842358229031676e-05,71.884658,10415933.810455,2414098.32136,12.811552000000006,2.1e-05,21.086594,1.702315
2020-08-31,SE-T,Örebro,0,304805,0.0,73.877487,6131596.888711,2399171.822643,10.304455000000019,9e-05,18.737652,2.984445
2020-08-30,SE-T,Örebro,0,304805,0.0,88.731184,4389685.136466,2383657.56687,11.833659000000011,0.007504,11.887107,1.665886
2020-08-29,SE-T,Örebro,0,304805,0.0,87.079646,853299.933093,2374406.228833,12.286599000000024,0.013927,12.992303,2.749318
2020-08-28,SE-T,Örebro,0,304805,0.0,66.628065,8128053.498717,2382309.056446,12.905403000000035,0.000248,20.556126,2.051871
2020-08-27,SE-T,Örebro,3,304805,9.842358229031676e-06,67.841731,6660974.152341,2381998.071841,12.654209000000037,0.00011,21.157793,1.834028
2020-08-26,SE-T,Örebro,2,304805,6.561572152687784e-06,69.148714,4623569.279346,2366948.608884,12.394292000000007,8e-05,22.132777,1.716151
2020-08-25,SE-T,Örebro,5,304805,1.640393038171946e-05,64.290047,12840040.612572,2372343.420141,12.55249600000002,0.000267,23.733804,2.574952
2020-08-24,SE-T,Örebro,3,304805,9.842358229031676e-06,70.186824,9296932.652662,2370820.275657,13.658799000000045,0.00125,21.908275,2.719246
2020-08-23,SE-T,Örebro,0,304805,0.0,76.951125,9055180.92848,2363375.898813,16.111141000000032,0.002952,19.980115,4.368773
2020-08-22,SE-T,Örebro,0,304805,0.0,78.655929,7679795.026299,2371378.435696,18.421328000000017,0.001559,23.542014,3.793374
2020-08-21,SE-T,Örebro,3,304805,9.842358229031676e-06,82.091311,1736396.536121,2385609.971456,18.68751900000001,0.007788,17.338037,2.378996
2020-08-20,SE-T,Örebro,4,304805,1.3123144305375567e-05,79.92431,6925210.480115,2386199.634702,18.52403800000002,0.011591,23.951251,1.255222
2020-08-19,SE-T,Örebro,12,304805,3.93694329161267e-05,74.385429,11239596.443233,2381250.071199,19.158063000000027,0.003887,26.583066,1.423875
2020-08-18,SE-T,Örebro,5,304805,1.640393038171946e-05,66.519083,11421744.649134,2382497.715683,20.508473000000038,0.000295,27.358563,1.306254
2020-08-17,SE-T,Örebro,8,304805,2.6246288610751135e-05,63.240261,10999741.751764,2392591.883258,20.676018,0.000161,28.177678,1.37093
2020-08-16,SE-T,Örebro,1,304805,3.280786076343892e-06,62.307147,15778737.610006,2397017.681046,20.370400000000018,4.4e-05,28.565747,2.017789
2020-08-15,SE-T,Örebro,4,304805,1.3123144305375567e-05,63.374551,16705377.341886,2396408.386145,20.818427000000042,8e-06,28.805645,2.338312
2020-08-14,SE-T,Örebro,8,304805,2.6246288610751135e-05,63.298973,16348276.657473,2393614.04009,20.61313800000005,7.7e-05,28.960872,2.161626
2020-08-13,SE-T,Örebro,5,304805,1.640393038171946e-05,67.651731,13290291.213598,2400190.12075,20.205272000000036,0.00047,29.045542,1.941113
2020-08-12,SE-T,Örebro,10,304805,3.280786076343892e-05,61.252814,14760423.623477,2412190.76796,19.502319999999997,8.9e-05,29.256575,2.246558
2020-08-11,SE-T,Örebro,14,304805,4.5931005068814486e-05,60.756433,14915913.958307,2421932.124439,17.922030000000007,4e-06,29.533675,1.380452
2020-08-10,SE-T,Örebro,3,304805,9.842358229031676e-06,57.897151,12945463.555805,2418808.447402,18.002415000000042,0.000927,28.418858,2.388799
2020-08-09,SE-T,Örebro,0,304805,0.0,65.950868,11460917.403464,2412261.736369,20.34814,0.000484,30.472739,2.46316
2020-08-08,SE-T,Örebro,8,304805,2.6246288610751135e-05,61.151619,15375663.873637,2412368.299711,21.59006500000004,0.0,31.264913,1.668182
2020-08-07,SE-T,Örebro,7,304805,2.2965502534407243e-05,60.332593,14943428.470815,2418747.497434,21.530012,0.0,32.427838,1.658202
2020-08-06,SE-T,Örebro,15,304805,4.921179114515838e-05,79.889911,7514649.551876,2409620.984926,18.554986000000042,0.001071,21.103913,2.552691
